,car_type,location,brand,model,version,year,fuel_type,transmission_type,distance_driven,price
173,-,Chennai,Toyota,Etios,1.5 V,2018,Petrol,Manual,"61,000 kms",6.2 Lakh
174,-,Chennai,Renault,KWID,Climber 1.0 MT,2017,Petrol,Manual,"17,000 kms",4.3 Lakh
175,-,Chennai,Maruti,Swift,VXI,2012,Petrol,Manual,"21,000 kms",4.5 Lakh
176,-,Chennai,Honda,Brio,V MT,2012,Petrol,Manual,"88,000 kms",3.5 Lakh
177,-,Chennai,Honda,City,i VTEC V,2016,Petrol,Manual,"47,000 kms",7.7 Lakh
178,-,Chennai,Maruti,Ritz,VXi,2011,Petrol,Manual,"89,529 kms",2.49 Lakh
179,-,Chennai,Nissan,Micra Active,XV,2018,Petrol,Manual,"45,000 kms",4.35 Lakh
180,-,Chennai,Ford,Ecosport,1.5 DV5 MT Trend,2013,Diesel,Manual,"1,13,059 kms",4.1 Lakh
181,-,Chennai,Hyundai,Elantra,CRDi,2006,Diesel,Manual,"90,000 kms",1.1 Lakh
182,-,Chennai,Hyundai,Verna,1.4 CRDi,2017,Diesel,Manual,"71,000 kms",7 Lakh
183,-,Chennai,Honda,Jazz,1.2 VX i VTEC,2015,Petrol,Manual,"31,085 kms",5.7 Lakh
184,-,Chennai,Hyundai,Grand i10,Magna AT,2016,Petrol,Automatic,"19,000 kms",5.5 Lakh
185,-,Chennai,Mercedes-Benz,New C-Class,C 220 CDI Avantgarde,2017,Diesel,Automatic,"10,000 kms",34 Lakh
186,-,Chennai,Toyota,Innova Crysta,2.4 G Plus MT 8 STR,2018,Diesel,Manual,"53,000 kms",18.5 Lakh
187,-,Chennai,Kia,Carnival,Prestige,2020,Diesel,Automatic,"18,012 kms",31 Lakh
188,-,Chennai,Ford,Ecosport,1.5 DV5 MT Trend,2014,Diesel,Manual,"1,02,261 kms",4.99 Lakh
189,-,Chennai,Maruti,Ciaz,AT ZXi,2014,Petrol,Automatic,"20,521 kms",6.4 Lakh
190,-,Chennai,Honda,Accord,2.4 AT,2011,Petrol,Automatic,"1,00,000 kms",7 Lakh
191,-,Chennai,Toyota,Innova Crysta,2.8 GX AT BSIV,2017,Diesel,Automatic,"33,001 kms",18.45 Lakh
192,-,Chennai,BMW,5 Series,520d Luxury Line,2013,Diesel,Automatic,"99,085 kms",17.65 Lakh
193,-,Chennai,Maruti,Alto 800,LX Optional,2014,Petrol,Manual,"44,036 kms",2.7 Lakh
194,-,Chennai,Maruti,Alto,LXi,2008,Petrol,Manual,"70,490 kms",1.6 Lakh
195,-,Chennai,Honda,Jazz,1.5 SV i DTEC,2016,Diesel,Manual,"57,500 kms",5.6 Lakh
196,-,Chennai,Maruti,Celerio,ZXI AT,2016,Petrol,Automatic,"37,400 kms",4.25 Lakh
